Vector(Upload: 1.13 Mbit/s, Download: 1.60 Mbit/s, Sun Mar  8 13:55:09 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 6691.857 ms)
Vector(Upload: 47.26 Mbit/s, Download: 91.81 Mbit/s, Sun Mar  8 13:56:55 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Taiwan Fixed Network (New Taipei) [802.48 km]: 34.065 ms)
Vector(Upload: 4.15 Mbit/s, Download: 13.03 Mbit/s, Sun Mar  8 13:58:52 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 272.93 ms)
Vector(Upload: 12.34 Mbit/s, Download: 52.34 Mbit/s, Sun Mar  8 14:30:35 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Digital Pacific (Sydney) [7372.57 km]: 232.823 ms)
Vector(Upload: 62.71 Mbit/s, Download: 91.58 Mbit/s, Sun Mar  8 14:32:14 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by STC (Hong Kong) [1.06 km]: 8.969 ms)
Vector(Upload: 5.43 Mbit/s, Download: 4.20 Mbit/s, Sun Mar  8 14:33:00 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 325.999 ms)
Vector(Upload: 6.41 Mbit/s, Download: 28.44 Mbit/s, Sun Mar  8 14:36:04 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Towerstream (New York City, NY) [12959.46 km]: 323.65 ms)
Vector(Upload: 0.76 Mbit/s, Download: 1.12 Mbit/s, Sun Mar  8 15:07:26 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 21.082 ms)
Vector(Upload: 47.35 Mbit/s, Download: 84.56 Mbit/s, Sun Mar  8 15:09:12 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Far Eastone Telecommunications Co., Ltd. (New Taipei) [802.48 km]: 36.618 ms)
Vector(Upload: 4.83 Mbit/s, Download: 10.89 Mbit/s, Sun Mar  8 15:10:22 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 493.029 ms)
Vector(Upload: 9.51 Mbit/s, Download: 52.81 Mbit/s, Sun Mar  8 15:41:50 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Digital Pacific (Sydney) [7372.57 km]: 266.269 ms)
